channel,video,url,time,observation,confidence,category
"Devsplainers","Reward Hacking: Why OpenAI's Model Broke Into Hugging Face","https://www.youtube.com/watch?v=jgYktxRm9oI","0-547.0","Estimated caption-derived speaking rate: 149 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","GLM 5.2 vs Claude vs GPT: Did the Frontier Just Fall?","https://www.youtube.com/watch?v=kIotDKOpfV4","0.0-2.1","First captioned spoken text: “Last month, [music] a free model you can”","observed","script"
"Devsplainers","GLM 5.2 vs Claude vs GPT: Did the Frontier Just Fall?","https://www.youtube.com/watch?v=kIotDKOpfV4","0-569.9","Estimated caption-derived speaking rate: 146 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","AI Gateway: The Layer Every AI Stack Eventually Needs","https://www.youtube.com/watch?v=MYPLpkENs7A","0.0-2.5","First captioned spoken text: “The most important piece of your AI”","observed","script"
"Devsplainers","AI Gateway: The Layer Every AI Stack Eventually Needs","https://www.youtube.com/watch?v=MYPLpkENs7A","0-667.4","Estimated caption-derived speaking rate: 169 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","Can a Local LLM Actually Replace Claude or Codex for Coding?","https://www.youtube.com/watch?v=pI9uZGoIchA","0.0-2.9","First captioned spoken text: “A local model on a 6-year-old graphics”","observed","script"
"Devsplainers","Can a Local LLM Actually Replace Claude or Codex for Coding?","https://www.youtube.com/watch?v=pI9uZGoIchA","0-703.6","Estimated caption-derived speaking rate: 164 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","You Don't Need an AI Agent Framework","https://www.youtube.com/watch?v=VMcGuTg30gQ","0.0-2.6","First captioned spoken text: “You decided to build your own simple”","observed","script"
"Devsplainers","You Don't Need an AI Agent Framework","https://www.youtube.com/watch?v=VMcGuTg30gQ","0-560.1","Estimated caption-derived speaking rate: 172 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","5 Open Source AI Tools That Feel ILLEGAL To Know About","https://www.youtube.com/watch?v=-UxcljWN49I","0.3-2.7","First captioned spoken text: “Five open source repositories, over”","observed","script"
"Kai","5 Open Source AI Tools That Feel ILLEGAL To Know About","https://www.youtube.com/watch?v=-UxcljWN49I","0-700.5","Estimated caption-derived speaking rate: 179 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Running a 80B AI Model on a 8GB GPU, FAST (oLLM Guide)","https://www.youtube.com/watch?v=5E3qTmQPmP8","0.0-3.5","First captioned spoken text: “The model file is 160 GB. The graphics”","observed","script"
"Kai","Running a 80B AI Model on a 8GB GPU, FAST (oLLM Guide)","https://www.youtube.com/watch?v=5E3qTmQPmP8","0-581.5","Estimated caption-derived speaking rate: 180 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Kimi K3 + DSpark Is INSANE (Beats Claude + 3x Faster + OpenSource)","https://www.youtube.com/watch?v=cGhT8G408lA","0.0-2.9","First captioned spoken text: “Two coding models. One costs $25 a”","observed","script"
"Kai","Kimi K3 + DSpark Is INSANE (Beats Claude + 3x Faster + OpenSource)","https://www.youtube.com/watch?v=cGhT8G408lA","0-605.3","Estimated caption-derived speaking rate: 165 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","HTMX Explained: The ""Dumb"" HTML Secret Replacing React","https://www.youtube.com/watch?v=HPAh1uiE2z0","0.0-2.8","First captioned spoken text: “This is a button. You click it, the page”","observed","script"
"Kai","HTMX Explained: The ""Dumb"" HTML Secret Replacing React","https://www.youtube.com/watch?v=HPAh1uiE2z0","0-477.1","Estimated caption-derived speaking rate: 172 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","OmniRoute + Claude Code is INSANE (Why I Cancelled My Claude Code Subscription)","https://www.youtube.com/watch?v=k26fT4athQs","0.0-2.0","First captioned spoken text: “I canceled my Claude code subscription”","observed","script"
"Kai","OmniRoute + Claude Code is INSANE (Why I Cancelled My Claude Code Subscription)","https://www.youtube.com/watch?v=k26fT4athQs","0-434.4","Estimated caption-derived speaking rate: 189 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","I Replaced Every AI Subscription I Pay For","https://www.youtube.com/watch?v=MgHQncHjDhs","0.0-2.2","First captioned spoken text: “Open AI recently made it crystal clear”","observed","script"
"Kai","I Replaced Every AI Subscription I Pay For","https://www.youtube.com/watch?v=MgHQncHjDhs","0-400.8","Estimated caption-derived speaking rate: 192 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Best Local AI Models For Your Every GPU 2026","https://www.youtube.com/watch?v=mtk8p8czzDU","0.0-2.5","First captioned spoken text: “Stop asking what's the best local AI”","observed","script"
"Kai","Best Local AI Models For Your Every GPU 2026","https://www.youtube.com/watch?v=mtk8p8czzDU","0-819.1","Estimated caption-derived speaking rate: 173 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Run KIMI K3 on Your Laptop Locally (No GPU Needed)","https://www.youtube.com/watch?v=tjdCBCr4qhQ","0.0-3.5","First captioned spoken text: “2.8 trillion parameters, open weights,”","observed","script"
"Kai","Run KIMI K3 on Your Laptop Locally (No GPU Needed)","https://www.youtube.com/watch?v=tjdCBCr4qhQ","0-697.2","Estimated caption-derived speaking rate: 170 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Best Local Agent Harness Right Now (My Top 3)","https://www.youtube.com/watch?v=YgyyWDGeQWM","0.0-3.0","First captioned spoken text: “The best local agent harness in 2026 is”","observed","script"
"Kai","Best Local Agent Harness Right Now (My Top 3)","https://www.youtube.com/watch?v=YgyyWDGeQWM","0-633.8","Estimated caption-derived speaking rate: 181 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Kai","Everything That Actually Matters for Local AI","https://www.youtube.com/watch?v=Y_34JZmZElg","0.0-2.5","First captioned spoken text: “Two graphics cards. One is 5 years old”","observed","script"
"Kai","Everything That Actually Matters for Local AI","https://www.youtube.com/watch?v=Y_34JZmZElg","0-687.8","Estimated caption-derived speaking rate: 170 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","Codex vs Claude Code: Why Top Devs Use Both (2026)","https://www.youtube.com/watch?v=3DhgRoP54H8","0","Opening frame places 67% and 65% side by side with persistent red and blue tool identities.","observed","visual"
"Devsplainers","Codex vs Claude Code: Why Top Devs Use Both (2026)","https://www.youtube.com/watch?v=3DhgRoP54H8","198","Circular benchmark values retain the same red and blue comparison identity and add a 13-point difference label.","observed","visual"
"Devsplainers","Codex vs Claude Code: Why Top Devs Use Both (2026)","https://www.youtube.com/watch?v=3DhgRoP54H8","360-396","Usage-limit bars and token totals continue the same comparison geometry while changing the metric.","observed","visual"
"Kai","Running a 80B AI Model on a 8GB GPU, FAST (oLLM Guide)","https://www.youtube.com/watch?v=5E3qTmQPmP8","18","Three labeled cards preview what the mechanism does, its main job, and where it breaks.","observed","visual"
"Kai","Running a 80B AI Model on a 8GB GPU, FAST (oLLM Guide)","https://www.youtube.com/watch?v=5E3qTmQPmP8","126-198","A single 7.5 GB value becomes a storage-bandwidth to token-speed ratio using stable yellow, red, and blue semantics.","observed","visual"
"Kai","I Replaced Every AI Subscription I Pay For","https://www.youtube.com/watch?v=MgHQncHjDhs","18","The opening comparison places $120 per month in red against an owned alternative in blue.","observed","visual"
"Kai","I Replaced Every AI Subscription I Pay For","https://www.youtube.com/watch?v=MgHQncHjDhs","144-216","Repeated paid-versus-free cards compare ChatGPT and Claude with Open WebUI, then Perplexity with Perplexica.","observed","visual"
"Kai","HTMX Explained: The ""Dumb"" HTML Secret Replacing React","https://www.youtube.com/watch?v=HPAh1uiE2z0","60-165","Server/browser flow diagrams progress into UI and syntax examples, supporting a behavior-to-mechanism-to-implementation sequence.","observed","visual"
